[00:00:00,715] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,715] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,722] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,735] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,751] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,756] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,758] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,789] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,806] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,828] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,842] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,854] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,866] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,872] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,897] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,900] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,916] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,929] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,929] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,932] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,937] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:00,949] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,010] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,031] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,039] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,042] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,046] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,047] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,063] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,096] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,102] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,113] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,116] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,129] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,143] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,161] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,168] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,169] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,184] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,187] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,191] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,201] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,214] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,239] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,240] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,253] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,259] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,261] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,283] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,286] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,297] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,303] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,305] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,307] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,309] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,315] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,317] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,330] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,342] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,343] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,346] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,351] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,363] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,365] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,368] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,396] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,399] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,406] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,410] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,425] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,432] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,447] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,463] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,467] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,478] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,487] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,490] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,505] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,549] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,549] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,572] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,603] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,611] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,618] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,628] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,638] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,641] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,673] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,679] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,680] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,698] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
